Number,Name,Classification,Height,Weight,Typings,Abilities,Base Stat Total,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
#001,Bulbasaur,Seed Pokémon,"['2\'04""', '0.7m']","['15.2lbs', '6.9kg']","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",318,45,49,49,65,65,45
#002,Ivysaur,Seed Pokémon,"['3\'03""', '1.0m']","['28.7lbs', '13.0kg']","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",405,60,62,63,80,80,60
#003,Venusaur,Seed Pokémon,"['6\'07""', '2.0m']","['220.5lbs', '100.0kg']","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",525,80,82,83,100,100,80
#004,Charmander,Lizard Pokémon,"['2\'00""', '0.6m']","['18.7lbs', '8.5kg']",['Fire'],"['Blaze', 'Solar Power']",309,39,52,43,60,50,65
#005,Charmeleon,Flame Pokémon,"['3\'07""', '1.1m']","['41.9lbs', '19.0kg']",['Fire'],"['Blaze', 'Solar Power']",405,58,64,58,80,65,80
#006,Charizard,Flame Pokémon,"['5\'07""', '1.7m']","['199.5lbs', '90.5kg']","['Fire', 'Flying']","['Blaze', 'Solar Power']",534,78,84,78,109,85,100
#007,Squirtle,Tiny Turtle Pokémon,"['1\'08""', '0.5m']","['19.8lbs', '9.0kg']",['Water'],"['Torrent', 'Rain Dish']",314,44,48,65,50,64,43
#008,Wartortle,Turtle Pokémon,"['3\'03""', '1.0m']","['49.6lbs', '22.5kg']",['Water'],"['Torrent', 'Rain Dish']",405,59,63,80,65,80,58
#009,Blastoise,Shellfish Pokémon,"['5\'03""', '1.6m']","['188.5lbs', '85.5kg']",['Water'],"['Torrent', 'Rain Dish']",530,79,83,100,85,105,78
#010,Caterpie,Worm Pokémon,"['1\'00""', '0.3m']","['6.4lbs', '2.9kg']",['Bug'],"['Shield Dust', 'Run Away']",195,45,30,35,20,20,45
#011,Metapod,Cocoon Pokémon,"['2\'04""', '0.7m']","['21.8lbs', '9.9kg']",['Bug'],['Shed Skin'],205,50,20,55,25,25,30
#012,Butterfree,Butterfly Pokémon,"['3\'07""', '1.1m']","['70.5lbs', '32.0kg']","['Bug', 'Flying']","['Compoundeyes', 'Tinted Lens']",395,60,45,50,90,80,70
#013,Weedle,Hairy Bug Pokémon,"['1\'00""', '0.3m']","['7.1lbs', '3.2kg']","['Bug', 'Poison']","['Shield Dust', 'Run Away']",195,40,35,30,20,20,50
#014,Kakuna,Cocoon Pokémon,"['2\'00""', '0.6m']","['22.0lbs', '10kg']","['Bug', 'Poison']",['Shed Skin'],205,45,25,50,25,25,35
#015,Beedrill,Poison Bee Pokémon,"['3\'03""', '1m']","['65.0lbs', '29.5kg']","['Bug', 'Poison']","['Swarm', 'Sniper']",395,65,90,40,45,80,75
#016,Pidgey,Tiny Bird Pokémon,"['1\'00""', '0.3m']","['4.0lbs', '1.8kg']","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",251,40,45,40,35,35,56
#017,Pidgeotto,Bird Pokémon,"['3\'07""', '1.1m']","['66.1lbs', '30kg']","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",349,63,60,55,50,50,71
#018,Pidgeot,Bird Pokémon,"['4\'11""', '1.5m']","['87.1lbs', '39.5kg']","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",479,83,80,75,70,70,101
#019,Rattata,Mouse Pokémon,"['1\'00"" / 0\'00""', '0.3m / m']","['7.7lbs / 0.0lbs', '3.5kg / kg']",['Normal'],"['Run Away', 'Guts', 'Hustle']",253,30,56,35,25,35,72
#020,Raticate,Mouse Pokémon,"['2\'04"" / 2\'07""', '0.7m / 0.8m']","['40.8lbs / 52.9lbs', '18.5kg / 24kg']",['Normal'],"['Run Away', 'Guts', 'Hustle']",413,55,81,60,50,70,97
#021,Spearow,Tiny Bird Pokémon,"['1\'00""', '0.3m']","['4.4lbs', '2kg']","['Normal', 'Flying']","['Keen Eye', 'Sniper']",262,40,60,30,31,31,70
#022,Fearow,Beak Pokémon,"['3\'11""', '1.2m']","['83.8lbs', '38kg']","['Normal', 'Flying']","['Keen Eye', 'Sniper']",442,65,90,65,61,61,100
#023,Ekans,Snake Pokémon,"['6\'07""', '2m']","['15.2lbs', '6.9kg']",['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",288,35,60,44,40,54,55
#024,Arbok,Cobra Pokémon,"['11\'06""', '3.5m']","['143.3lbs', '65kg']",['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",448,60,95,69,65,79,80
#025,Pikachu,Mouse Pokémon,"['1\'04""', '0.4m']","['13.2lbs', '6.0kg']",['Electric'],"['Static', 'Lightning Rod']",320,35,55,40,50,50,90
#026,Raichu,Mouse Pokémon,"['2\'07"" / 2\'04""', '0.8m / 0.7m']","['66.1lbs / 46.3lbs', '30.0kg / 21.0kg']",['Electric'],"['Static', 'Lightning Rod']",485,60,90,55,90,80,110
#027,Sandshrew,Mouse Pokémon,"['2\'00"" / 2\'04""', '0.6m / 0.7m']","['26.5lbs / 88.2lbs', '12.0kg / 40.0kg']",['Ground'],"['Sand Veil', 'Sand Rush']",300,50,75,85,20,30,40
#028,Sandslash,Mouse Pokémon,"['3\'03"" / 3\'11""', '1.0m / 1.2m']","['65.0lbs / 121.3lbs', '29.5kg / 55.0kg']",['Ground'],"['Sand Veil', 'Sand Rush']",450,75,100,110,45,55,65
#029,Nidoran♀,Poison Pin Pokémon,"['1\'04""', '0.4m']","['15.4lbs', '7.0kg']",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",275,55,47,52,40,40,41
#030,Nidorina,Poison Pin Pokémon,"['2\'07""', '0.8m']","['44.1lbs', '20.0kg']",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",365,70,62,67,55,55,56
#031,Nidoqueen,Drill Pokémon,"['4\'03""', '1.3m']","['132.3lbs', '60.0kg']","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']",505,90,92,87,75,85,76
#032,Nidoran♂,Poison Pin Pokémon,"['1\'08""', '0.5m']","['19.8lbs', '9.0kg']",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",273,46,57,40,40,40,50
#033,Nidorino,Poison Pin Pokémon,"['2\'11""', '0.9m']","['43.0lbs', '19.5kg']",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",365,61,72,57,55,55,65
#034,Nidoking,Drill Pokémon,"['4\'07""', '1.4m']","['136.7lbs', '62.0kg']","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']",505,81,102,77,85,75,85
#035,Clefairy,Fairy Pokémon,"['2\'00""', '0.6m']","['16.5lbs', '7.5kg']",['Fairy'],"['Cute Charm', 'Magic Guard', 'Friend Guard']",323,70,45,48,60,65,35
#036,Clefable,Fairy Pokémon,"['4\'03""', '1.3m']","['88.2lbs', '40.0kg']",['Fairy'],"['Cute Charm', 'Magic Guard', 'Unaware']",483,95,70,73,95,90,60
#037,Vulpix,Fox Pokémon,"['2\'00"" / 2\'00""', '0.6m / 0.6m']","['21.8lbs / 21.8lbs', '9.9kg / 9.9kg']",['Fire'],"['Flash Fire', 'Drought']",299,38,41,40,50,65,65
#038,Ninetales,Fox Pokémon,"['3\'07"" / 3\'07""', '1.1m / 1.1m']","['43.9lbs / 43.9lbs', '19.9kg / 19.9kg']",['Fire'],"['Flash Fire', 'Drought']",505,73,76,75,81,100,100
#039,Jigglypuff,Balloon Pokémon,"['1\'08""', '0.5m']","['12.1lbs', '5.5kg']","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Friend Guard']",270,115,45,20,45,25,20
#040,Wigglytuff,Balloon Pokémon,"['3\'03""', '1.0m']","['26.5lbs', '12.0kg']","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Frisk']",435,140,70,45,85,50,45
#041,Zubat,Bat Pokémon,"['2\'07""', '0.8m']","['16.5lbs', '7.5kg']","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",245,40,45,35,30,40,55
#042,Golbat,Bat Pokémon,"['5\'03""', '1.6m']","['121.3lbs', '55.0kg']","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",455,75,80,70,65,75,90
#043,Oddish,Weed Pokémon,"['1\'08""', '0.5m']","['11.9lbs', '5.4kg']","['Grass', 'Poison']","['Chlorophyll', 'Run Away']",320,45,50,55,75,65,30
#044,Gloom,Weed Pokémon,"['2\'07""', '0.8m']","['19.0lbs', '8.6kg']","['Grass', 'Poison']","['Chlorophyll', 'Stench']",395,60,65,70,85,75,40
#045,Vileplume,Flower Pokémon,"['3\'11""', '1.2m']","['41.0lbs', '18.6kg']","['Grass', 'Poison']","['Chlorophyll', 'Effect Spore']",490,75,80,85,110,90,50
#046,Paras,Mushroom Pokémon,"['1\'00""', '0.3m']","['11.9lbs', '5.4kg']","['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']",285,35,70,55,45,55,25
#047,Parasect,Mushroom Pokémon,"['3\'03""', '1m']","['65.0lbs', '29.5kg']","['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']",405,60,95,80,60,80,30
#048,Venonat,Insect Pokémon,"['3\'03""', '1m']","['66.1lbs', '30kg']","['Bug', 'Poison']","['Compoundeyes', 'Tinted Lens', 'Run Away']",305,60,55,50,40,55,45
#049,Venomoth,Poison Moth Pokémon,"['4\'11""', '1.5m']","['27.6lbs', '12.5kg']","['Bug', 'Poison']","['Shield Dust', 'Tinted Lens', 'Wonder Skin']",450,70,65,60,90,75,90
#050,Diglett,Mole Pokémon,"['0\'08"" / 0\'08""', '0.2m / 0.2m']","['1.8lbs / 2.2lbs', '0.8kg / 1.0kg']",['Ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",265,10,55,25,35,45,95
#051,Dugtrio,Mole Pokémon,"['2\'04"" / 2\'04""', '0.7m / 0.7m']","['73.4lbs / 146.8lbs', '33.3kg / 66.6kg']",['Ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",425,35,100,50,50,70,120
#052,Meowth,Scratch Cat Pokémon,"['1\'04"" / 1\'04""', '0.4m / 0.4m']","['9.3lbs / 9.3lbs', '4.2kg / 4.2kg']",['Normal'],"['Pickup', 'Technician', 'Unnerve']",290,40,45,35,40,40,90
#053,Persian,Classy Cat Pokémon,"['3\'03"" / 3\'07""', '1.0m / 1.1m']","['70.5lbs / 72.8lbs', '32.0kg / 33.0kg']",['Normal'],"['Limber', 'Technician', 'Unnerve']",440,65,70,60,65,65,115
#054,Psyduck,Duck Pokémon,"['2\'07""', '0.8m']","['43.2lbs', '19.6kg']",['Water'],"['Damp', 'Cloud Nine', 'Swift Swim']",320,50,52,48,65,50,55
#055,Golduck,Duck Pokémon,"['5\'07""', '1.7m']","['168.9lbs', '76.6kg']",['Water'],"['Damp', 'Cloud Nine', 'Swift Swim']",500,80,82,78,95,80,85
#056,Mankey,Pig Monkey Pokémon,"['1\'08""', '0.5m']","['61.7lbs', '28kg']",['Fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",305,40,80,35,35,45,70
#057,Primeape,Pig Monkey Pokémon,"['3\'03""', '1m']","['70.5lbs', '32kg']",['Fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",455,65,105,60,60,70,95
#058,Growlithe,Puppy Pokémon (Kantonian)Scout Pokémon (Hisuian),"['2\'04""', '0.7m']","['41.9lbs', '19.0kg']",['Fire'],"['Intimidate', 'Flash Fire', 'Justified']",350,55,70,45,70,50,60
#059,Arcanine,Legendary Pokémon,"['6\'03""', '1.9m']","['341.7lbs', '155.0kg']",['Fire'],"['Intimidate', 'Flash Fire', 'Justified']",555,90,110,80,100,80,95
#060,Poliwag,Tadpole Pokémon,"['2\'00""', '0.6m']","['27.3lbs', '12.4kg']",['Water'],"['Water Absorb', 'Damp', 'Swift Swim']",300,40,50,40,40,40,90
