number,name,sprite,class,height,weight,type1,type2,ability1,ability2,ability3,bst,hp,attack,defense,sp_attack,sp_defense,speed
001,Bulbasaur,require('../sprites/001.png'),Seed Pokémon,0.7m,6.9kg,Grass,Poison,Overgrow,Chlorophyll,,318,45,49,49,65,65,45
002,Ivysaur,require('../sprites/002.png'),Seed Pokémon,1.0m,13.0kg,Grass,Poison,Overgrow,Chlorophyll,,405,60,62,63,80,80,60
003,Venusaur,require('../sprites/003.png'),Seed Pokémon,2.0m,100.0kg,Grass,Poison,Overgrow,Chlorophyll,,525,80,82,83,100,100,80
004,Charmander,require('../sprites/004.png'),Lizard Pokémon,0.6m,8.5kg,Fire,,Blaze,Solar Power,,309,39,52,43,60,50,65
005,Charmeleon,require('../sprites/005.png'),Flame Pokémon,1.1m,19.0kg,Fire,,Blaze,Solar Power,,405,58,64,58,80,65,80
006,Charizard,require('../sprites/006.png'),Flame Pokémon,1.7m,90.5kg,Fire,Flying,Blaze,Solar Power,,534,78,84,78,109,85,100
007,Squirtle,require('../sprites/007.png'),Tiny Turtle Pokémon,0.5m,9.0kg,Water,,Torrent,Rain Dish,,314,44,48,65,50,64,43
008,Wartortle,require('../sprites/008.png'),Turtle Pokémon,1.0m,22.5kg,Water,,Torrent,Rain Dish,,405,59,63,80,65,80,58
009,Blastoise,require('../sprites/009.png'),Shellfish Pokémon,1.6m,85.5kg,Water,,Torrent,Rain Dish,,530,79,83,100,85,105,78
010,Caterpie,require('../sprites/010.png'),Worm Pokémon,0.3m,2.9kg,Bug,,Shield Dust,Run Away,,195,45,30,35,20,20,45
011,Metapod,require('../sprites/011.png'),Cocoon Pokémon,0.7m,9.9kg,Bug,,Shed Skin,,,205,50,20,55,25,25,30
012,Butterfree,require('../sprites/012.png'),Butterfly Pokémon,1.1m,32.0kg,Bug,Flying,Compoundeyes,Tinted Lens,,395,60,45,50,90,80,70
013,Weedle,require('../sprites/013.png'),Hairy Bug Pokémon,0.3m,3.2kg,Bug,Poison,Shield Dust,Run Away,,195,40,35,30,20,20,50
014,Kakuna,require('../sprites/014.png'),Cocoon Pokémon,0.6m,10kg,Bug,Poison,Shed Skin,,,205,45,25,50,25,25,35
015,Beedrill,require('../sprites/015.png'),Poison Bee Pokémon,1m,29.5kg,Bug,Poison,Swarm,Sniper,,395,65,90,40,45,80,75
016,Pidgey,require('../sprites/016.png'),Tiny Bird Pokémon,0.3m,1.8kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56
